,Métrica,Valor,,,,,,,,PROGRESO
,Total,225,,,,,,,,
,Completadas,188,,,,,,,,84%
,Sin atender,0,,,,,,,,
,En curso,6,,,,,,,,
,,,,,,,,,,
Proyecto/Cliente,Descripción,Encargado,Solicitud,Límite,Mes,Prioridad,Estatus,Fin,Cerrados esta semana,Comentarios
LexLatin,Enviar resumen Angela / José de estatus automatización de Ágora EMAIL,Edgar,15-sept,17-sept,Septiembre,Alta,Listo,,,Se pasa a prueba con un grupo de correos mayor
LexLatin,Resumen de Ticket de Lexlatin,Dasha,6-oct,13-oct,Octubre,Alta,Listo,,,En espera de Vo.Bo para enviar correo
LexLatin,Resumen de Tickets DMS,Dasha,13-oct,17-oct,Octubre,Alta,Listo,,,Apenas van 5 horas de atención
LexLatin,Ajusten en Landing Page Campus (Check Point),Edgar,13-oct,24-oct,Octubre,Alta,Listo,,,20/10 - ya no hay ajustes solicitado por Wendy. Esperando feedback de poner en servicio Landing.
LexLatin,Creación de Tickets ejemplo automatización,Edgar/ Jonathan,10-nov,10-nov,Noviembre,Alta,Listo,,,
LexLatin,Revisar con Nancy Perfil Plus (LP),Jonathan,27-oct,28-nov,Octubre,Alta,Listo,,,"26/01 - Cerrado. Configurado Funnel e ventas. 19/01 - se realizaron ajustes y se iba a lanzar compaña. 12/01 -  en revisión por parte de Nancy. 15/12 - Se enviará correo de seguimiento (Ricardo). 
08/12 - Pendiente por cambios de Página y pendiente insumos 
24/11 - Email a Nancy de estatus. 
10/11 - Jonathan enviará email hoy para validación."
LexLatin,Campus LandingPage - IA para abogados,Edgar,12-ene,16-ene,Enero,Alta,Listo,,,"26/01/ -  Confirmado por Wendy, en servicio. 19/01 - pendiente por concluir (Banner) Nancy. - hoy se hizo actualización."
LexLatin,"Campus LandingPage - Write like a Top-Tier lawyer: Master clear, persuasive legal English",Edgar,22-ene,5-feb,Enero,Alta,Listo,,,"05/02 - Se agregaron banners y se resolvieron correcciones - 97% Avance  - Faltan Formularios (by Henry)
02/02 - Pendiente de inputs de LexLatin 24/01 - 80% Avance
26/01 - Se espera diseño de Banner.
28/01 - Se está trabajando en correcciones y en espera de recursos para el banner y formularios.
"
LexLatin,Actualización Landing Diplomado Arbitraje Internacional,Edgar,30-mar,10-abr,Marzo,Media,Listo,,,"06/04 - se pasó correo. Esperando por LexLatin. 23-03 Se define trabajar con los subdominios l y crm . Monitoreo constante y evaluación de un posible Dominio a futuro. 09-03 Lider envía actualización y se sigue trabajando en pruebas.02/03 - en seguimiento - 23/02  - revisión de Phising DMARC/DKIM, en seguimiento. (Funcionando)."
LexLatin,Landing de Ágora: Trial + cobro (en pruebas),Edgar/Jonathan,12-ene,16-ene,Enero,Alta,En Curso,,,"04-05 mismo estatus , esperando de parte de ellos 27-04 se realizaron ultimos ajustes esperando que prueben. 20-04 En conversaciones con Nancy solicitó agregar una pagina de inicio de prueba. hoy se envía actualización. 13-04 Se contactará a Nancy para ver si se da play, se hicieron pruebas.
06/04/2026 se ajusta y actualiza el home con Nancy, las pruebas de suscripcion siguen esta semana. Esperando por Nancy. 30/03/2026 - falta actualización Jonathan. 23-03 esta semana siguen las pruebas home  y pasarela 09-03 trabajndo en pruebas esta semana para una llamada con LL 02-03 validar un posible desarrollo e integracion con base de datos. Junta miercoles a las 2pm. 23/02 - en progreso, retomado. 26/01 - en progreso. (por retomar con LL) 19/01 - en proceso de pruebas. (LexLatin en segunda prioridad).12/01 - pruebas en proceso1602 llamada con nancy. "
LexLatin,Filtro de Email para evitar Phishing - cambios de configuración / Correo,Edgar,23-feb,23-feb,Febrero,Media,Listo,,,"23-03 Se define trabajar con los subdominios l y crm . Monitoreo constante y evaluación de un posible Dominio a futuro. 09-03 Lider envía actualización y se sigue trabajando en pruebas.02/03 - en seguimiento - 23/02  - revisión de Phising DMARC/DKIM, en seguimiento. (Funcionando)."
LexLatin,Campus ajustes - cambios en el Home,Edgar,12-ene,16-ene,Enero,Media,Listo,,,"23-03 se estará agregando nuevos requerimientos al home.09-03 Se tuvo reunión, hay nuevos cambios 23/02  - depende de insumos de LexLatin. 02/02 - Lider debe terminar unos detalles para revisión para ver Insights / falta banner - Nancy 26/01 -  pendiente inputs de LexLatin Nancy, dar toque a Nancy (cuándo). 19/01 - Se hicieron cambios y está pendiente por LexLatin. Edgar enviará email."
LexLatin,Ajustes de formulario campus,Edgar,09-02,13-feb,Febrero,Alta,On Hold,,,09-03 On Hold 23/02  - depende de insumos de LexLatin.
LexLatin,Email eduactivo de Phishing,Ricardo,23-feb,23-feb,Febrero,Media,Listo,,,02/03 - se envia email de Informativo Seguridad Digital en LexLatin: Cómo Identificar y Evitar Ataques de Phishing
LexLatin,Configuraciones anti phishing l.lexlatin,Edgar,09-02,20-feb,Febrero,Alta,Listo,,,
LexLatin,"Actualizaciónes en pagina ""Programas""",Edgar,09-02,20-feb,Febrero,Alta,Listo,,,18-02 Se está realizando actualización de contenido de acuerdo a solicitud vía email
Galvizu,Llamada de Ricardo - seguimiento de formulario,Ricardo,09-02,13-feb,Febrero,Alta,Listo,,,
Nubex,Presentacion,Ricardo,16-02,9-feb,Febrero,Alta,Listo,,,"02/03/2026 - Presentación presencial realizada - foco en entrega 06/03, 23/02 - presentación de estatus semanal."
WMS,Junta con Dominique,Ricardo,09-02,9-feb,Febrero,Alta,Listo,,,Reunion 16-02
Mix concrete,Revisión de proyecto - nuevo requerimiento,Jonathan,09-02,13-feb,Febrero,Alta,Listo,,,Reunion 17-02
,Rediseño de PerfilPlus (Nueva Landing Page),Jonathan,23-feb,27-feb,Febrero,Alta,Listo,,,
PDG,Revisión de PDG,Jonathan / Ricardo,06/10,31/10,Octubre,Alta,En Curso,,,"04-05 Mauro retomará mejoras de PDG esta semana 27-04 charly pide avances pero mauro esta ocupado con RP20-04 Mauro avanzó con algiunas tareas pero la prioridad es RP 13-04 Mauro está retomando prioridades esta semana
06/04-hablar con Mauro para ajustes adicionales y comunicra a Charly. 30/03 - pendiente revisar. 23-03 Mauro hizo ajustes y se espera revisión de parte de Charly 09-03 se trabajará en funciones claves 02/03 Charly solicio nuevos ajustes y Mauro en ejecucion 16-02 Cierre de fase 1, inicio fase 2 (cobranza) 09-02 Mauro en resolución de problemas aque van saliendo, en espera de aprobación de Charly 02/02- en progreso ajustes de PDG - producción. 26/01 - Mauro trabajando en ajustes que pidió Charly. 19/01 - buscando cerrar esta semana. 12/01 -  se ha estado en contacto con Mauro / modificaciones de Charly. 15/12 - Toque de Ricardo a Mauro
24/11 - Toque a Mauro. 
10/11 - Toque a Charly para revisión. "
LexLatin,Ajuste de Pixel de Landings,Edgar/Jonathan,12-ene,16-ene,Enero,Alta,Listo,,,Se realizó ajuste de pixel.
LexLatin,Ágora - Cambio de Precio Woocomerce Ágora,Edgar,12-ene,12-ene,Enero,Alta,Listo,,,Terminada
